Visual magnitude (mV)	Proper name	Bayer desig. part 1	part 2	Distance (ly)	Spectral class	Right ascension	Declination
−1.46	Sirius	α	CMa	8.6	A0mA1 Va, DA2	06h 45m 08.91728s	−16° 42′ 58.0171″
−0.74	Canopus	α	Car	310	A9 II	06h 23m 57.10988s	−52° 41′ 44.3810″
−0.27 (0.01 + 1.33)	Rigil Kentaurus	α	Cen	4.4	G2 V, K1 V	14h 39m 36.49400s	−60° 50′ 02.3737″
−0.05	Arcturus	α	Boo	37	K0 III	14h 15m 39.7s	+19° 10′ 56″
0.03 (−0.02–0.07var)	Vega	α	Lyr	25	A0 Va	18h 36m 56.33635s	+38° 47′ 01.2802″
0.08 (0.03–0.16var)	Capella	α	Aur	43	K0 III, G1 III	05h 16m 41.35871s	+45° 59′ 52.7693″
0.13 (0.05–0.18var)	Rigel	β	Ori	860	B8 Ia	05h 14m 32.27210s	−08° 12′ 05.8981″
0.34	Procyon	α	CMi	11	F5 IV-V	07h 39m 18.11950s	+05° 13′ 29.9552″
0.46 (0.40–0.46var)	Achernar	α	Eri	139	B6 Vep	01h 37m 42.84548s	–57° 14′ 12.3101″
0.50 (0.2–1.2var)	Betelgeuse	α	Ori	700	M1-M2 Ia-ab	05h 55m 10.30536s	+07° 24′ 25.4304″
0.61	Hadar	β	Cen	390	B1 III	14h 03m 49.40535s	–60° 22′ 22.9266″
0.76	Altair	α	Aql	17	A7 V	19h 50m 46.99855s	+08° 52′ 05.9563″
0.76 (1.33 + 1.73)	Acrux	α	Cru	320	B0.5 IV, B1 V	12h 26m 35.89522s	−63° 05′ 56.7343″
0.86 (0.75–0.95var)	Aldebaran	α	Tau	65	K5 III	04h 35m 55.23907s	+16° 30′ 33.4885″
0.96 (0.6–1.6var)	Antares	α	Sco	550	M1.5 Iab-Ib, B2.5 V	16h 29m 24.45970s	−26° 25′ 55.2094″
0.97 (0.97–1.04var)	Spica	α	Vir	250	B1 III-IV, B2 V	13h 25m 11.579s	−11° 09′ 40.75″
1.14	Pollux	β	Gem	34	K0 III	07h 45m 18.94987s	+28° 01′ 34.3160″
1.16	Fomalhaut	α	PsA	25	A3 V	22h 57m 39.0465s	−29° 37′ 20.050″
1.25 (1.21–1.29var)	Deneb	α	Cyg	2615	A2 Ia	20h 41m 25.9s	+45° 16′ 49″
1.25 (1.23–1.31var)	Mimosa	β	Cru	280	B0.5 III, B2 V	12h 47m 43.26877s	–59° 41′ 19.5792″
1.39	Regulus	α	Leo	79	B8 IVn	10h 08m 22.311s	+11° 58′ 01.95″
1.50	Adhara	ε	CMa	430	B2 II	06h 58m 37.6s	–28° 58′ 19″
1.62	Shaula	λ	Sco	570	B2 IV	17h 33m 36.520s	−37° 06′ 13.76″
1.62 (1.98 + 2.97)	Castor	α	Gem	52	A1 V, Am	07h 34m 35.863s	+31° 53′ 17.79″
1.64	Gacrux	γ	Cru	88	M3.5 III	12h 31m 09.95961s	−57° 06′ 47.5684″
1.64	Bellatrix	γ	Ori	240	B2 III	05h 25m 07.86325s	+06° 20′ 58.9318″
1.65	Elnath	β	Tau	130	B7 III	05h 26m 17.51312s	+28° 36′ 26.8262″
1.69	Miaplacidus	β	Car	110	A1 III	09h 13m 11.97746s	−69° 43′ 01.9473″
