Messier number	NGC/IC number	Common name	Picture	Object type	Distance (kly)	Constellation	Apparent magnitude	Right ascension	Declination
M1	NGC 1952	Crab Nebula	Crab Nebula.jpg	Supernova remnant	4.9–8.1	Taurus	8.4	05h 34m 31.94s	+22° 00′ 52.2″
M2	NGC 7089	–	Messier 2 Hubble WikiSky.jpg	Globular cluster	33	Aquarius	6.3	21h 33m 27.02s	−00° 49′ 23.7″
M3	NGC 5272	–	M3LRGB 891x674.jpg	Globular cluster	33.9	Canes Venatici	6.2	13h 42m 11.62s	+28° 22′ 38.2″
M4	NGC 6121	–	The globular star cluster Messier 4.jpg	Globular cluster	7.2	Scorpius	5.9	16h 23m 35.22s	−26° 31′ 32.7″
M5	NGC 5904	–	Messier 5 - HST.jpg	Globular cluster	24.5	Serpens	6.7	15h 18m 33.22s	+02° 04′ 51.7″
M6	NGC 6405	Butterfly Cluster	M6a.jpg	Open cluster	1.6	Scorpius	4.2	17h 40.1m	−32° 13′
M7	NGC 6475	Ptolemy Cluster	The star cluster Messier 7.jpg	Open cluster	0.65–1.31	Scorpius	3.3	17h 53m 51.2s	−34° 47′ 34″
M8	NGC 6523	Lagoon Nebula	LagoonHunterWilson.jpg	Nebula with cluster	4.1	Sagittarius	6.0	18h 03m 37s	−24° 23′ 12″
M9	NGC 6333	–	Messier object 009.jpg	Globular cluster	25.8	Ophiuchus	8.4	17h 19m 11.78s	−18° 30′ 58.5″
M10	NGC 6254	–	Messier 10 Hubble WikiSky.jpg	Globular cluster	14.3	Ophiuchus	6.4	16h 57m 8.92s	−04° 05′ 58.07″
M11	NGC 6705	Wild Duck Cluster	Messier11.jpg	Open cluster	6.2	Scutum	6.3	18h 51.1m	−06° 16′
M12	NGC 6218	–	M12 Hubble.jpg	Globular cluster	15.7	Ophiuchus	7.7	16h 47m 14.18s	−01° 56′ 54.7″
M13	NGC 6205	Great Globular Cluster in Hercules	Messier 13 Hubble WikiSky.jpg	Globular cluster	22.2	Hercules	5.8	16h 41m 41.24s	+36° 27′ 35.5″
M14	NGC 6402	–	Messier object 014.jpg	Globular cluster	30.3	Ophiuchus	8.3	17h 37m 36.15s	−03° 14′ 45.3″
M15	NGC 7078	–	Messier 15 Hubble WikiSky.jpg	Globular cluster	33	Pegasus	6.2	21h 29m 58.33s	+12° 10′ 01.2″
M16	NGC 6611	Eagle Nebula	Eagle Nebula from ESO.jpg	H II region nebula with cluster	7	Serpens	6.0	18h 18m 48s	−13° 49′
M17	NGC 6618	Omega, Swan, Horseshoe, or Lobster Nebula	The star formation region Messier 17.jpg	H II region nebula with cluster	5–6	Sagittarius	6.0	18h 20m 26s	−16° 10′ 36″
M18	NGC 6613	–	Messier18.jpg	Open cluster	4.9	Sagittarius	7.5	18h 19.9m	−17° 08′
M19	NGC 6273	–	Messier object 019.jpg	Globular cluster	28.7	Ophiuchus	7.5	17h 02m 37.69s	−26° 16′ 04.6″
